# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1491
#@/user_id	29f50511-2ff1-467a-b4e1-0cf2271c2eee
a 	啊	c=5 d=1.24199 t=1491
chu shi hua 	初始化	c=2 d=1.00263 t=1486
chu shou 	出售	c=1 d=1 t=940
chu xian 	出現	c=0 d=0.1 t=289
chu zhong 	初中	c=1 d=1 t=877
chuan 	傳	c=0 d=0.1 t=70
chuan 	穿	c=1 d=1 t=1081
chuan ru 	傳入	c=1 d=1 t=265
chuan tu pian 	傳圖片	c=1 d=1 t=71
chuang kou 	窗口	c=1 d=1 t=1190
chun 	純	c=1 d=1 t=1074
cong 	從	c=5 d=2.13799 t=1480
cong lai mei 	從來沒	c=0 d=0.1 t=670
cong xiao 	從小	c=0 d=0.1 t=754
cou 	湊	c=1 d=1 t=543
cu xin 	粗心	c=1 d=1 t=608
cun chu ka 	存儲卡	c=1 d=1 t=1422
cuo jue 	錯覺	c=2 d=1.97045 t=157
cuo le 	錯了	c=0 d=0.1 t=1176
cuo wu 	錯誤	c=3 d=1.0044 t=1475
da 	噠	c=1 d=1 t=653
da 	大	c=2 d=1.6401 t=1031
da an niu 	大按鈕	c=1 d=1 t=1032
da bao 	打包	c=0 d=0.1 t=341
da bao xia zai 	打包下載	c=1 d=1 t=342
da huang 	大黃	c=4 d=1.11269 t=1209
da jia 	大家	c=4 d=1.81714 t=1254
da jie jie 	大姐姐	c=1 d=1 t=913
da kai 	打開	c=2 d=1.56553 t=705
da lao 	大佬	c=4 d=2.03533 t=548
da mi 	大米	c=1 d=1 t=1322
da shan 	搭訕	c=1 d=1 t=861
da shu 	大叔	c=1 d=1 t=776
da si 	打死	c=1 d=1 t=1169
da suan 	打算	c=0 d=0.1 t=1097
da suan qu 	打算去	c=1 d=1 t=1098
da xue sheng 	大學生	c=1 d=1 t=976
dai 	帶	c=0 d=0.1 t=1145
dai jie zou 	帶節奏	c=1 d=1 t=1146
dai tao 	戴套	c=1 d=1 t=1136
dai you 	帶有	c=1 d=1 t=1329
dan diao 	單調	c=1 d=1 t=1160
dan mu 	彈幕	c=0 d=0.1 t=544
dan mu qu 	彈幕取	c=1 d=1 t=545
dan pai 	單排	c=1 d=1 t=1357
dan shi 	但是	c=2 d=1.83527 t=1441
dang 	當	c=3 d=1.2351 t=1403
dao 	到	c=1 d=0.17244 t=798
dao lie 	盜獵	c=0 d=0.1 t=490
dao lie zhe 	盜獵者	c=1 d=1 t=491
de 	地	c=1 d=1 t=1280
de 	得	c=1 d=1 t=1288
de 	的	c=71 d=10.7323 t=1477
de cheng 	得逞	c=0 d=0.1 t=893
de hua 	的話	c=2 d=1.04097 t=1427
de la 	的啦	c=1 d=1 t=868
de shi hou 	的時候	c=1 d=1 t=1010
de shuo 	的說	c=1 d=1 t=801
deng 	等	c=0 d=0.1 t=1486
deng bu deng lu 	等不登錄	c=1 d=1 t=1487
deng ji 	等級	c=1 d=1 t=350
deng lu 	登錄	c=0 d=0.1 t=1486
di ceng 	底層	c=1 d=1 t=1437
di er 	第二	c=1 d=1 t=573
di fang 	地方	c=1 d=1 t=131
di gui 	遞歸	c=1 d=1 t=618
di que 	的確	c=1 d=1.00155 t=954
di ren 	敵人	c=0 d=0.111884 t=965
di tu 	地圖	c=0 d=0.1 t=1205
di ya 	迪亞	c=0 d=0.1 t=1489
di zeng 	遞增	c=1 d=1 t=1161
dian 	點	c=2 d=1.99501 t=47
dian ji 	點擊	c=1 d=1 t=1420
diao 	掉	c=1 d=1 t=194
ding dang 	叮噹	c=0 d=0.1 t=1488
dong fang 	東方	c=1 d=1 t=1387
dong wu 	動物	c=2 d=1.94649 t=510
dou 	抖	c=2 d=1.0488 t=932
dou 	都	c=3 d=0.772621 t=1298
dou bi 	都比	c=1 d=1 t=201
dou cheng hu 	都稱呼	c=1 d=1 t=1299
dou shi 	都是	c=4 d=1.23784 t=1235
dou si le 	都死了	c=1 d=1 t=1253
dou yong 	都用	c=1 d=1 t=146
dou zhao 	都找	c=0 d=0.1 t=798
dou zhao dao gong zuo 	都找到工作	c=1 d=1 t=799
du qu 	讀取	c=2 d=1.88558 t=1040
du qu shu ju 	讀取數據	c=1 d=1 t=1041
du su 	毒素	c=2 d=1.89137 t=1308
dui 	對	c=1 d=1 t=1292
dui mian 	對面	c=1 d=1 t=946
dui you 	隊友	c=3 d=1.13346 t=1151
dui zhan 	堆棧	c=1 d=1 t=228
duo 	多	c=0 d=0.112063 t=1431
duo cai duo yi 	多才多藝	c=1 d=1 t=215
duo le 	多了	c=0 d=0.1 t=728
ei 	誒	c=5 d=1.04931 t=1215
er 	而	c=1 d=1 t=1063
er bei 	而被	c=1 d=1 t=164
er ci 	二次	c=0 d=0.1 t=48
er ci yuan 	二次元	c=1 d=1 t=49
er ji tou 	二級頭	c=1 d=1 t=949
er jin zhi 	二進制	c=1 d=1 t=300
er shou 	二手	c=2 d=1.00538 t=1484
fa 	發	c=1 d=1 t=1153
fa gong zi 	發工資	c=0 d=0.1 t=178
fa xing 	發行	c=0 d=0.1 t=422
fa xing ban 	發行辦	c=1 d=1 t=423
fan chuan 	翻船	c=1 d=1 t=520
fan qiang 	翻牆	c=1 d=1 t=154
fan zheng 	反正	c=3 d=1.63966 t=709
fang 	房	c=1 d=1 t=1212
fang 	方	c=0 d=0.1 t=29
fang 	防	c=0 d=0.1 t=949
fang bu zhu 	防不住	c=1 d=1 t=950
fang dao 	放到	c=1 d=1 t=929
fang qi 	放棄	c=0 d=0.1 t=16
fang shi 	方式	c=2 d=1.00085 t=1440
fang wen 	訪問	c=1 d=1 t=78
fang zai 	放在	c=1 d=1 t=277
fang zhe 	放着	c=1 d=1 t=1269
fei 	非	c=0 d=0.1 t=68
fei 	飛	c=2 d=1.72979 t=614
fei hao you 	非好友	c=1 d=1 t=69
fen 	粉	c=1 d=1 t=1275
fen bian lv 	分辨率	c=1 d=1 t=1346
fen fa 	分發	c=1 d=1 t=1060
fen kai 	分開	c=0 d=0.1 t=237
fen kai de 	分開的	c=1 d=1 t=238
feng suo 	封鎖	c=0 d=0.1 t=1191
fu 	副	c=0 d=0.1 t=50
fu 	服	c=1 d=1.08511 t=55
fu le 	服了	c=0 d=0.1 t=1120
fu shuai 	富帥	c=1 d=1 t=823
fu wu 	服務	c=0 d=0.1 t=239
fu wu bu cuo 	服務不錯	c=1 d=1 t=240
fu yong 	服用	c=1 d=1 t=1317
fu zhi 	複製	c=1 d=1.04317 t=428
fu zhi 	賦值	c=2 d=1.43823 t=427
fu zhi yun suan fu 	複製運算符	c=1 d=1 t=261
gai bian 	改變	c=0 d=0.1 t=712
gan 	幹	c=0 d=0.1 t=634
gan jue 	感覺	c=3 d=1.29995 t=1428
gan ran 	感染	c=1 d=1 t=555
gan xie 	感謝	c=0 d=0.1 t=389
gan xie nin 	感謝您	c=1 d=1 t=390
gang gang 	剛剛	c=1 d=1 t=876
gang hao 	剛好	c=2 d=1.00715 t=1084
gao 	搞	c=1 d=0.250318 t=384
gao 	高	c=1 d=1 t=386
gao bu hao 	搞不好	c=1 d=1 t=1065
gao duan 	高端	c=0 d=0.1 t=872
gao duan wan jia 	高端玩家	c=1 d=1 t=873
gao shou 	高手	c=1 d=1 t=921
gao yi 	高一	c=1 d=1 t=143
ge 	個	c=0 d=0.102458 t=1018
ge ji 	格機	c=6 d=5.30566 t=1459
ge shi hua 	格式化	c=1 d=1 t=1421
ge zhong 	各種	c=1 d=1 t=834
gei 	給	c=0 d=0.188692 t=178
gei ni men 	給你們	c=1 d=1 t=155
gei wo 	給我	c=0 d=0.1 t=1121
gei wo pai zhao 	給我拍照	c=1 d=1 t=1122
gen 	根	c=1 d=1 t=473
gen ben xing 	根本性	c=1 d=1 t=247
geng hao 	更好	c=0 d=0.1 t=1348
geng hao kan 	更好看	c=1 d=1 t=1349
gong cheng 	工程	c=1 d=1 t=1417
gong ji 	攻擊	c=0 d=0.1 t=965
gong ji di ren 	攻擊敵人	c=1 d=1 t=966
gong jiao che 	公交車	c=1 d=1 t=1360
gong ju 	工具	c=1 d=1 t=1097
gong neng 	功能	c=1 d=1 t=475
gong ya sang 	公鴨嗓	c=1 d=1 t=513
gong zhong 	公衆	c=1 d=1 t=307
gong zuo 	工作	c=3 d=1.15741 t=798
gu dian 	古典	c=1 d=1 t=597
gu ding zhi 	固定值	c=1 d=1 t=284
gu hua 	固化	c=1 d=1 t=1431
gu ji 	估計	c=1 d=1 t=902
gua zi 	瓜子	c=1 d=1 t=941
gua zi lian 	瓜子臉	c=1 d=1 t=1106
guan bi 	關閉	c=1 d=1 t=1184
guang chang 	廣場	c=1 d=1 t=962
gui 	貴	c=1 d=1 t=203
gui ding 	規定	c=1 d=1 t=266
gui zi 	鬼子	c=1 d=1 t=1170
gun 	滾	c=1 d=1 t=460
guo 	國	c=1 d=1 t=968
guo 	過	c=0 d=0.1 t=848
guo duo 	過多	c=1 d=1 t=620
guo ji shang 	國際上	c=1 d=1 t=1290
guo ji xiang qi 	國際象棋	c=1 d=1 t=415
guo nei 	國內	c=3 d=2.04074 t=1342
ha ha 	哈哈	c=0 d=0.1 t=623
ha ha ha 	哈哈哈	c=0 d=0.184366 t=623
ha ha ha ha 	哈哈哈哈	c=0 d=0.1 t=589
ha ha ha ha ha 	哈哈哈哈哈	c=1 d=1 t=624
ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈	c=1 d=1 t=590
hai 	還	c=4 d=1.73766 t=1078
hai bu dao 	還不到	c=1 d=1 t=879
hai mei you 	還沒有	c=1 d=1 t=1291
hai mian 	海綿	c=1 d=1 t=315
hai mian bao bao 	海綿寶寶	c=5 d=4.15848 t=359
hai shi 	還是	c=5 d=2.43364 t=1472
hai shi shuo 	還時說	c=1 d=1 t=986
hai zhe me 	還這麼	c=1 d=1 t=909
han shu 	函數	c=1 d=0.208222 t=1163
han shu tu xiang 	函數圖像	c=1 d=1 t=1164
han shu zhi zhen 	函數指針	c=1 d=1 t=223
han you 	含有	c=1 d=1 t=1319
hang 	行	c=1 d=1 t=1482
hao 	好	c=0 d=0.1 t=1
hao ba 	好吧	c=1 d=1 t=219
hao de 	好的	c=0 d=0.1 t=1431
hao de duo 	好的多	c=1 d=1 t=1432
hao duo 	好多	c=0 d=0.1 t=663
hao duo bian 	好多遍	c=1 d=1 t=664
hao kan 	好看	c=1 d=1 t=86
hao ke lian 	好可憐	c=1 d=1 t=2
hao ku 	好酷	c=1 d=1 t=1204
hao shang 	好傷	c=1 d=1 t=1208
hao wa 	好哇	c=0 d=0.1 t=454
hao you 	好友	c=0 d=0.1 t=68
he 	和	c=11 d=3.8267 t=1117
he fa 	合法	c=1 d=1 t=1154
hen 	很	c=0 d=0.103405 t=1475
hen nan 	很難	c=1 d=1 t=355
hen shao 	很少	c=1 d=1 t=693
hen tong ku 	很痛苦	c=1 d=1 t=652
hen xi huan 	很喜歡	c=1 d=1 t=1434
hen xiang shi 	很翔實	c=1 d=1 t=1476
hen zha xin 	很扎心	c=1 d=1 t=800
heng ji 	哼唧	c=0 d=0.1 t=711
hong 	宏	c=0 d=0.1 t=245
hong 	紅	c=0 d=0.1 t=1329
hong chu li qi 	宏處理器	c=1 d=1 t=246
hong hu die jie 	紅蝴蝶結	c=1 d=1 t=1330
hong xing 	紅星	c=1 d=1 t=583
hou 	後	c=1 d=1 t=1055
hou gong 	後宮	c=4 d=3.96672 t=375
hou gong zhu 	後宮主	c=1 d=1 t=373
hou zi 	猴子	c=3 d=2.60107 t=1051
hu die jie 	蝴蝶結	c=0 d=0.1 t=1329
hu zhao 	護照	c=1 d=1 t=1114
hua le 	花了	c=0 d=0.1 t=112
hua suan 	划算	c=0 d=0.1 t=1472
hua xue 	化學	c=1 d=1 t=1176
hua xue jia 	化學家	c=1 d=1 t=1174
huai yi 	懷疑	c=0 d=0.1 t=769
huan cun 	緩存	c=3 d=2.60116 t=1043
huan hang 	換行	c=1 d=1 t=305
huan le 	換了	c=0 d=0.1 t=90
huan le ge 	換了個	c=1 d=1 t=91
huan xiang 	幻想	c=1 d=1 t=774
huang biao che 	黃標車	c=2 d=1.97531 t=1376
huang chuo 	黃戳	c=1 d=1 t=458
huang fa 	黃髮	c=1 d=1 t=1328
hui 	會	c=2 d=1.10635 t=1314
hui ba 	會把	c=1 d=1 t=498
hui bei 	會被	c=1 d=1 t=585
hui bu hui 	會不會	c=1 d=1 t=392
hui mian 	燴麪	c=1 d=1 t=1488
hui rang 	會讓	c=0 d=0.1 t=1285
hui rang ren 	會讓人	c=1 d=1 t=1286
hui shou 	回收	c=0 d=0.1 t=286
hui you 	會有	c=1 d=1 t=1260
huo de 	獲得	c=2 d=1.80654 t=1056
huo zhe 	或者	c=1 d=1 t=77
ji 	雞	c=1 d=1 t=189
ji ben shang 	基本上	c=1 d=1 t=1234
ji cun qi 	寄存器	c=1 d=1 t=426
ji cuo 	記錯	c=0 d=0.1 t=1178
ji cuo le 	記錯了	c=1 d=1 t=1179
ji gao yi chou 	技高一籌	c=1 d=1 t=886
ji ke 	即可	c=1 d=1 t=1332
ji ling 	激靈	c=0 d=0.1 t=951
ji mei 	即沒	c=1 d=1 t=803
ji qi 	機器	c=1 d=1 t=1406
ji qi ren 	機器人	c=3 d=2.26507 t=856
ji ran 	既然	c=1 d=1 t=785
ji sheng chong 	寄生蟲	c=2 d=1.91851 t=1294
ji shi 	即使	c=0 d=0.1 t=1220
ji shi yan suan 	即使演算	c=1 d=1 t=1221
ji suan ji 	計算機	c=1 d=1 t=1023
ji ta 	吉他	c=1 d=1 t=598
jia de 	假的	c=2 d=1.98511 t=784
jia she 	假設	c=1 d=1 t=1017
jia su 	加速	c=1 d=1 t=43
jia you 	加油	c=1 d=1 t=644
jian 	鍵	c=0 d=0.1 t=986
jian cha 	檢查	c=0 d=0.1 t=234
jian dan 	簡單	c=0 d=0.1 t=343
jian guo 	見過	c=1 d=1 t=136
jian shi 	監視	c=1 d=1 t=615
jian tao 	檢討	c=0 d=0.1 t=898
jian tou 	箭頭	c=1 d=1 t=579
jian yi 	建議	c=0 d=0.1 t=399
jian yi wo 	建議我	c=1 d=1 t=400
jiang 	講	c=1 d=1 t=1229
jiang 	醬	c=1 d=1.0001 t=1449
jiao 	叫	c=2 d=1.24171 t=866
jiao 	角	c=2 d=1.956 t=506
jiao ben 	腳本	c=3 d=1.3526 t=860
jiao cheng 	教程	c=1 d=1 t=303
jiao du 	角度	c=1 d=1 t=1469
jiao liu 	交流	c=2 d=1.93707 t=765
jiao ni 	教你	c=0 d=0.1 t=825
jiao yi 	交易	c=1 d=1 t=1343
jiao zuo 	叫做	c=2 d=1.00919 t=1273
jie jie 	姐姐	c=1 d=1 t=584
jie jue 	解決	c=1 d=1 t=233
jie mian 	界面	c=4 d=1.02277 t=1418
jie ru 	接入	c=2 d=1.06457 t=1381
jie shou 	接受	c=0 d=0.1 t=1332
jie shou zhi liao 	接受治療	c=1 d=1 t=1333
jie zou 	節奏	c=0 d=0.1 t=1145
jin chi 	矜持	c=1 d=1 t=911
jin quan 	進圈	c=1 d=1 t=97
jin yan 	禁言	c=1 d=0.160205 t=1148
jin yan yi xia 	禁言一下	c=1 d=1 t=1149
jing dian 	經典	c=1 d=1 t=632
jing ji shi li 	經濟實力	c=1 d=1 t=806
jing shen wu ran 	精神污染	c=1 d=1 t=965
jing tong 	精通	c=1 d=1 t=967
jing zhi 	靜止	c=1 d=1 t=623
jiong 	囧	c=2 d=1.99985 t=923
jiong ba ba 	囧粑粑	c=3 d=2.94111 t=933
jiu 	就	c=2 d=0.25087 t=1422
jiu cong 	就從	c=1 d=1 t=1037
jiu hao xiang 	就好象	c=1 d=1 t=1135
jiu ke yi le ma 	就可以了嘛	c=1 d=1 t=1423
jiu neng 	就能	c=1 d=0.128725 t=1051
jiu pa 	就怕	c=1 d=1 t=518
jiu shi 	就是	c=10 d=0.958465 t=1415
jiu shi zai 	就是在	c=1 d=1 t=1416
jiu suan 	就算	c=0 d=0.1 t=291
jiu suan zhe yang 	就算這樣	c=1 d=1 t=292
jiu ting zhi 	就停止	c=1 d=1 t=1045
ju bao 	舉報	c=0 d=0.1 t=138
ju bao ni men 	舉報你們	c=1 d=1 t=139
ju hua 	句話	c=1 d=1 t=679
ju ji shou 	狙擊手	c=1 d=1 t=1172
ju ti 	具體	c=1 d=1 t=1443
ju yu wang 	局域網	c=1 d=1 t=1382
jue ding 	決定	c=0 d=0.1 t=934
jue ding shi ni le 	決定是你了	c=1 d=1 t=935
jue wang 	絕望	c=1 d=1 t=572
ka fei 	咖啡	c=0 d=0.1 t=1066
ka yi 	卡伊	c=2 d=1.15803 t=379
kai 	開	c=1 d=1.00202 t=1359
kai gua 	開掛	c=1 d=1 t=1217
kai mai 	開麥	c=1 d=1 t=1363
kai wai 	開外	c=2 d=1.07808 t=1167
kai wan 	開完	c=1 d=1 t=1166
kan 	看	c=1 d=0.237297 t=1348
kan lai 	看來	c=1 d=1 t=62
kan xi 	看戲	c=1 d=1.09501 t=937
kan xi le 	看戲了	c=1 d=1 t=938
kao bing 	烤餅	c=0 d=0.1 t=634
kao bing gan 	烤餅幹	c=1 d=1 t=635
kao lv 	考慮	c=0 d=0.1 t=717
kao mian bao 	烤麪包	c=1 d=1 t=634
kao xiang 	烤箱	c=1 d=1 t=633
ke 	課	c=1 d=1 t=1130
ke bi 	可比	c=1 d=1 t=724
ke er 	科爾	c=0 d=0.1 t=1489
ke er di ya xing 	科爾迪亞星	c=1 d=1 t=1490
ke le 	可樂	c=1 d=1 t=942
ke lian 	可憐	c=0 d=0.1 t=1
ke neng 	可能	c=0 d=0.1 t=139
ke neng shi 	可能是	c=2 d=1.0076 t=1128
ke shi 	可是	c=0 d=0.1 t=952
ke shi wo 	可是我	c=1 d=1 t=953
ke yi 	可以	c=0 d=0.133788 t=1355
ke yi le 	可以了	c=1 d=0.214178 t=1422
ke yi zai 	可以在	c=1 d=1 t=1356
ke zhen shi 	可真是	c=0 d=0.1 t=983
ken ding 	肯定	c=1 d=1 t=388
kong bai 	空白	c=0 d=0.1 t=60
kong bai jiang 	空白醬	c=1 d=1 t=61
kong bu fen zi 	恐怖分子	c=1 d=1 t=1119
kong huang 	恐慌	c=1 d=1 t=1201
kou dai 	口袋	c=0 d=0.1 t=468
kou dai ben 	口袋本	c=1 d=1 t=469
ku 	酷	c=2 d=1.00185 t=1345
kui da le 	虧大了	c=1 d=1 t=1072
la 	啦	c=3 d=2.45564 t=827
la ji 	垃圾	c=2 d=1.04929 t=890
la ren 	拉人	c=1 d=1 t=1362
lai 	來	c=1 d=1 t=1351
lai ge 	來個	c=1 d=1 t=931
lai shuo 	來說	c=1 d=1 t=1471
lai te 	萊特	c=1 d=1 t=1344
lai yi 	來意	c=1 d=1 t=1364
lan dong 	藍洞	c=2 d=1.21654 t=1377
lang fei 	浪費	c=0 d=0.1 t=1103
lang fei ren sheng 	浪費人生	c=1 d=1 t=1104
le 	了	c=20 d=3.67345 t=1409
le ba 	了吧	c=1 d=1 t=490
le yi tian 	了一天	c=1 d=1 t=1129
lei xing 	類型	c=0 d=0.1 t=296
li 	裏	c=6 d=2.37353 t=1358
li hai 	厲害	c=1 d=1 t=985
li hong zhi 	李洪志	c=1 d=1 t=630
li ke 	立刻	c=1 d=1 t=1324
li lao shi 	李老師	c=1 d=1 t=627
li mian 	裏面	c=2 d=1.80252 t=376
li xian 	離線	c=1 d=1 t=1478
li xian zai 	裏現在	c=1 d=1 t=638
lian 	連	c=1 d=1 t=210
lian jie 	鏈接	c=1 d=1 t=601
liang lei 	兩類	c=1 d=1 t=249
liao 	聊	c=0 d=0.1 t=409
liao tian 	聊天	c=1 d=0.542639 t=830
liao tian ji qi ren 	聊天機器人	c=1 d=1 t=831
liu lan qi 	瀏覽器	c=3 d=1.04003 t=1079
liu lan qi li 	瀏覽器裏	c=1 d=1 t=340
lou zhu 	樓主	c=0 d=0.1 t=642
lun tan 	論壇	c=1 d=1 t=637
luo ji xue 	邏輯學	c=1 d=1 t=547
luo ma 	羅馬	c=0 d=0.1 t=356
luo ma yin 	羅馬因	c=1 d=1 t=357
lv mao 	綠帽	c=1 d=1 t=102
ma 	嗎	c=3 d=1.27707 t=1424
ma 	嘛	c=5 d=1.45826 t=1425
ma fan 	麻煩	c=1 d=1 t=1147
mai le 	買了	c=1 d=1 t=1464
man man 	慢慢	c=1 d=1 t=1279
man xing zi sha 	慢性自殺	c=1 d=1 t=1245
mao 	貓	c=1 d=1 t=1213
mei fa 	沒法	c=0 d=0.1 t=1369
mei fa xi 	沒法洗	c=1 d=1 t=1370
mei you 	沒有	c=2 d=1.00303 t=1163
mei zi 	妹子	c=2 d=0.404966 t=841
men 	們	c=1 d=1 t=1390
meng 	萌	c=1 d=1 t=767
mi 	米	c=3 d=2.92996 t=1271
mi gang 	米缸	c=1 d=1 t=1258
mian ju 	面具	c=5 d=4.78188 t=708
mian mian qiang qiang 	勉勉強強	c=0 d=0.1 t=63
mian mian qiang qiang ye zhi shi 	勉勉強強也只是	c=1 d=1 t=64
miao 	秒	c=1 d=1 t=1054
